Summary of Donations reported by Donors to Australian Labor Party - 2013-14,
data exported: 11/Jun/2016 23:06,
DonorClientNm,RecipientClientNm,AmountPaid,
"Woolworths Limited","Australian Labor Party N.S.W. Branch (Federal Account)","10000.0000",
"Cartwheel Resources Pty Ltd","ALP-WA (ALP Brand Election Campaign - Gary Gray)","9500.0000",
"Insurance Australia Group Limited","ALP-NSW Australian Labor Party (NSW Branch)","9100.0000",
"Chevron Australia Pty Ltd","ALP-SA","8800.0000",
"The Gandel Group Pty Ltd","Labor Friends of Israel - Australian Labor Party - Vic","8000.0000",
"Visa AP Pty Ltd","ALP","7000.0000",
"Cartwheel Resources Pty Ltd","ALP-SA","6000.0000",
"Plenary Group Pty Ltd","Australian Labor Party (Victorian Branch)","5718.0000",
"Property Council of Australia Limited","ALP (Dinner PM Kevin Rudd)","5500.0000",
"Advocacy Services Australia Limited","ALP NSW Branch","5054.0000",
"Australian Hotels Association (N.S.W.)","Australian Labor Party (Tasmanian Branch)","5000.0000",
"CFMEU Mining & Energy Division - National Office","Australian Labor Party (Western Australian Branch)","5000.0000",
"Electrical Trades Union","Australian Labor Party (South Australian Branch)","5000.0000",
"Jefferson Investments Pty Limited","Australian Labor Party (ALP)","5000.0000",
"New South Wales Minerals Council Ltd","Australian Labor Party (N.S.W. Branch)","5000.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Hunter Federal Campaign Account - ALP-NSW","5000.0000",
"Toga Pty Ltd","Australian Labor Party (South Australian Branch)","5000.0000",
"Insurance Australia Group Limited","ALP Progressive Business Association","4950.0000",
"GROCON PTY LTD","Australian Labor Party (Victorian Branch)","4850.0000",
"Macquarie Group Limited","Australian Labor Party (N.S.W. Branch)","4800.0000",
"Boehringer Ingelheim Pty Limited","Australian Labor Party (ALP)","4569.0000",
"Genworth","Australian Labor Party (ALP)","3809.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","ALP NSW Page Federal Campaign - ALP-NSW","3600.0000",
"Seven West Media Limited","Australian Labor Party (ACT Branch)","3500.0000",
"Seven West Media Limited","Australian Labor Party (Western Australian Branch)","3500.0000",
"Pricewaterhousecoopers","Australian Labor Party VIC","3427.0000",
"Seven West Media Limited","Australian Labor Party (N.S.W. Branch)","3300.0000",
"Westpac Banking Corporation","Australian Labor Party (ACT Branch)","3150.0000",
"Crown Resorts Limited","Australian Labor Party (N.S.W. Branch)","3000.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor NSW Branch Barton Federal Campaign - ALP-NSW","3000.0000",
"Santos Limited","ALP-QLD","3000.0000",
"Advocacy Services Australia Limited","ALP VIC Branch","2900.0000",
"Deloitte Touche Tohmatsu","Australian Labor Party (Victorian Branch)","2650.0000",
"Pricewaterhousecoopers","SA Progressive Business ALP-SA","2640.0000",
"Bluescope Steel Limited","ALP-VIC","2589.0000",
"Brookfield Australia Investments Group","Australian Labor Party (State of Queensland)","2500.0000",
"Financial Services Council Limited","ALP (NSW Branch) Blaxland FCA - ALP-NSW","2500.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Fowler Federal Campaign Account - ALP-NSW","2500.0000",
"Plenary Group Pty Ltd","Australian Labor Party (N.S.W. Branch)","2200.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor Party NSW Branch Federal Capaign Account - ALP-","2200.0000",
"Origin Energy","Australian Labor Party (South Australian Branch)","2150.0000",
"Seven West Media Limited","Australian Labor Party (Victorian Branch)","2100.0000",
"Health Insurance Restricted Membership Association of Australia","ALP-VIC Progressive Business","2090.0000",
"Energy Australia Pty Ltd","Australian Labor Party (VIC Branch)","2050.0000",
"Australian Private Equity & Venture Capital Association Limited","Australian Labor Party (ALP)","2000.0000",
"Property Council of Australia Limited","ALP (2014 Fed Budget Reply Dinner)","2000.0000",
"Financial Services Council Limited","Progressive Business Association - ALP-VIC","1980.0000",
"Westpac Banking Corporation","Australian Labor Party (N.S.W. Branch)","1750.0000",
"Health Insurance Restricted Membership Association of Australia","ALP Australian Labor Party National Secretariat","1500.0000",
"Jefferson Investments Pty Limited","Australian Labor Party (ACT Branch)","1500.0000",
"Plenary Group Pty Ltd","Australian Labor Party (ALP)","1500.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","ALP NSW (Hunter) - ALP-NSW","1500.0000",
"Toga Pty Ltd","Australian Labor Party (ALP)","1364.0000",
"Pricewaterhousecoopers","Australian Labor Party ACT","1315.0000",
"Lion Pty Ltd","Australian Labor Party (South Australian Branch)","1262.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","ALP NSW Branch Blaxland Federal Campaign - ALP-NSW","1250.0000",
"Tabcorp Holdings Limited","Australian Labor Party (N.S.W. Branch)","1200.0000",
"Arnold Bloch Leibler","Australian Labor Party (ALP)","1100.0000",
"Cartwheel Resources Pty Ltd","ALP (National Secretariat - Gary Gray Event on 07/07/2014)","1100.0000",
"Woodside Energy Limited","Australian Labor Party (Western Australian Branch)","1100.0000",
"Arnold Bloch Leibler","Australian Labor Party (Victorian Branch)","1000.0000",
"Energy Australia Pty Ltd","Australian Labor Party (SA Branch)","1000.0000",
"Laundy Trading Pty Ltd","Aust. Labour Party","1000.0000",
"Property Council of Australia Limited","ALP - National Secretariat (2014 Fed Budget Reply)","1000.0000",
"Technology One Limited","Australian Labor Party (South Australian Branch)","1000.0000",
"The Gandel Group Pty Ltd","Michael Danby's Re-Election - ALP - Vic","1000.0000",
"Woolworths Limited","Australian Labor Party (Victorian Branch)","770.0000",
"Property Council of Australia Limited","ALP-SA (Kaurna Fundraiser 23/1/14)","750.0000",
"Property Council of Australia Limited","ALP-SA (SA Progressive Dinner 20/11/13)","700.0000",
"Ms Mary Stuart","Australian Labor Party (Victorian Branch)","500.0000",
"Property Council of Australia Limited","ALP-SA (ALP Adelaide Lunch 12/2/14)","500.0000",
"Property Council of Australia Limited","ALP-SA (Campaign Insight Dinner)","500.0000",
"Advocacy Services Australia Limited","ALP National Secretariat","454.0000",
"Seven West Media Limited","Australian Labor Party (State of Queensland)","400.0000",
"Mr Peter Hanlon","Australian Labor Party (ALP)","300.0000",
"Property Council of Australia Limited","ALP-SA (EOY drinks w/ Premier + ALP)","150.0000",
"Property Council of Australia Limited","ALP-SA (Lunch with Julia Gillard)","130.0000",
"Origin Energy","Australian Labor Party (ACT Branch)","125.0000",
"Property Council of Australia Limited","ALP-SA (Celebrate Hon John Hill career)","125.0000",
"Aurizon Holdings Limited","ALP - ALP Ministerial Forum - Sydney","50.0000",
